host_resource,host_field,candidate_satellite,target_resource,target_field,host_simple_type,target_simple_type,host_lookup,target_lookup,type_match,simple_type_match,lookup_match
Property,CoListAgentKey,CoListAgentVoiceMail,Member,MemberVoiceMail,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentVoiceMailExt,Member,MemberVoiceMailExt,String,String,,,1.0,1,1
Property,CoListOfficeKey,CoListOfficeAOR,Office,OfficeAOR,"String List, Single","String List, Single",AOR,AOR,1.0,1,1
Property,CoListOfficeKey,CoListOfficeEmail,Office,OfficeEmail,String,String,,,1.0,1,1
Property,CoListOfficeKey,CoListOfficeFax,Office,OfficeFax,String,String,,,1.0,1,1
Property,CoListOfficeKey,CoListOfficeMlsId,Office,OfficeMlsId,String,String,,,1.0,1,1
Property,CoListOfficeKey,CoListOfficeName,Office,OfficeName,String,String,,,1.0,1,1
Property,CoListOfficeKey,CoListOfficePhone,Office,OfficePhone,String,String,,,1.0,1,1
Property,CoListOfficeKey,CoListOfficePhoneExt,Office,OfficePhoneExt,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentAOR,Member,MemberAOR,"String List, Single","String List, Single",AOR,AOR,1.0,1,1
Property,ListAgentKey,ListAgentDesignation,Member,MemberDesignation,"String List, Multi","String List, Multi",ListAgentDesignation,MemberDesignation,0.5,1,0
Property,ListAgentKey,ListAgentDirectPhone,Member,MemberDirectPhone,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentEmail,Member,MemberEmail,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentFax,Member,MemberFax,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentFirstName,Member,MemberFirstName,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentFullName,Member,MemberFullName,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentHomePhone,Member,MemberHomePhone,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentLastName,Member,MemberLastName,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentMiddleName,Member,MemberMiddleName,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentMlsId,Member,MemberMlsId,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentMobilePhone,Member,MemberMobilePhone,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentNamePrefix,Member,MemberNamePrefix,String,String,,,1.0,1,1
