ResourceName,StandardName,Definition,SourceURL
CaravanStop,SourceSystemKey,"The system key, a unique record identifier, from the source system. The source system is the system from which the record was directly received. In cases where the source system was not where the record originated (the authoritative system), see the Originating System fields.",https://dd.reso.org/DD2.0/CaravanStop/SourceSystemKey/
CaravanStop,SourceSystemName,The name of the caravan stop's record provider. The system from which the record was directly received. The legal name of the company.,https://dd.reso.org/DD2.0/CaravanStop/SourceSystemName/
CaravanStop,StopAttendedBy,"This states whether a caravan stop will be attended by a licensed agent (i.e., Attended by Agent, Attended by the Seller or Unattended).",https://dd.reso.org/DD2.0/CaravanStop/StopAttendedBy/
CaravanStop,StopClassName,The name of the class that applies to this caravan stop record. Typical stops are represented by open house or listing records. A stop might also be another custom/local resource.,https://dd.reso.org/DD2.0/CaravanStop/StopClassName/
CaravanStop,StopDate,The date the caravan stop will be open.,https://dd.reso.org/DD2.0/CaravanStop/StopDate/
CaravanStop,StopEndTime,The time the caravan stop will be closed.,https://dd.reso.org/DD2.0/CaravanStop/StopEndTime/
CaravanStop,StopId,The ID of a caravan stop record. Typical stops are represented by an open house or listing record's ID. A stop might also be another custom/local resource.,https://dd.reso.org/DD2.0/CaravanStop/StopId/
CaravanStop,StopKey,The key of a caravan stop record. This is a foreign key to the CaravanStop Resource. Typical stops are represented by an open house or listing record's key. A stop might also be another custom/local resource.,https://dd.reso.org/DD2.0/CaravanStop/StopKey/
CaravanStop,StopOrder,This is used when the order of stops needs to be communicated.,https://dd.reso.org/DD2.0/CaravanStop/StopOrder/
CaravanStop,StopRefreshments,A description of the refreshments that will be served at the caravan stop.,https://dd.reso.org/DD2.0/CaravanStop/StopRefreshments/
CaravanStop,StopRemarks,"Comments, instructions or information about the caravan stop.",https://dd.reso.org/DD2.0/CaravanStop/StopRemarks/
CaravanStop,StopResourceName,The name of the resource that applies to this caravan stop record. Typical stops are represented by open house or listing records. A stop might also be another custom/local resource.,https://dd.reso.org/DD2.0/CaravanStop/StopResourceName/
CaravanStop,StopShowingAgentFirstName,The first name of the showing agent for the caravan stop.,https://dd.reso.org/DD2.0/CaravanStop/StopShowingAgentFirstName/
CaravanStop,StopShowingAgentKey,"A system unique identifier for the caravan stop's showing agent. Specifically, in aggregation systems, the key is the system unique identifier from the system that the record was retrieved. This may be identical to the related xxxId. This is a foreign key relating to the MemberKey of the Member Resource.",https://dd.reso.org/DD2.0/CaravanStop/StopShowingAgentKey/
CaravanStop,StopShowingAgentLastName,The last name of the showing agent for the caravan stop.,https://dd.reso.org/DD2.0/CaravanStop/StopShowingAgentLastName/
CaravanStop,StopShowingAgentMlsId,"The local, well-known identifier for the showing agent. This value may not be unique. Specifically, in the case of aggregation systems, this value should be the identifier from the original system.",https://dd.reso.org/DD2.0/CaravanStop/StopShowingAgentMlsId/
CaravanStop,StopStartTime,The time the caravan stop will be open.,https://dd.reso.org/DD2.0/CaravanStop/StopStartTime/
ContactListingNotes,Contact,The contact associated with the ContactListingNotes record.,https://dd.reso.org/DD2.0/ContactListingNotes/Contact/
ContactListingNotes,ContactKey,The key of the corresponding contact record. ContactKey and the ListingKey are used as a compound key for this record.,https://dd.reso.org/DD2.0/ContactListingNotes/ContactKey/
ContactListingNotes,ContactListingNotesKey,"A system unique identifier. Specifically, in aggregation systems, the key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.",https://dd.reso.org/DD2.0/ContactListingNotes/ContactListingNotesKey/
ContactListingNotes,HistoryTransactional,The history of the ContactListingNotes record.,https://dd.reso.org/DD2.0/ContactListingNotes/HistoryTransactional/
ContactListingNotes,Listing,The listing for the ContactListings record.,https://dd.reso.org/DD2.0/ContactListingNotes/Listing/
ContactListingNotes,ListingId,The ID for the corresponding listing record.,https://dd.reso.org/DD2.0/ContactListingNotes/ListingId/
ContactListingNotes,ListingKey,The key of the corresponding listing record. ContactKey and the ListingKey are used as a compound key for this record.,https://dd.reso.org/DD2.0/ContactListingNotes/ListingKey/
ContactListingNotes,ModificationTimestamp,The date/time a note was written.,https://dd.reso.org/DD2.0/ContactListingNotes/ModificationTimestamp/
ContactListingNotes,NoteContents,The contents of a note.,https://dd.reso.org/DD2.0/ContactListingNotes/NoteContents/
ContactListingNotes,NotedBy,"The individual who wrote a note (i.e., Agent or Contact).",https://dd.reso.org/DD2.0/ContactListingNotes/NotedBy/
ContactListings,AgentNotesUnreadYN,"Indicates whether or not agent notes have gone unread. If yes, one or more of the agent notes are unread.",https://dd.reso.org/DD2.0/ContactListings/AgentNotesUnreadYN/
ContactListings,ClassName,The name of the class where the listing record is located.,https://dd.reso.org/DD2.0/ContactListings/ClassName/
ContactListings,Contact,The contact for the ContactListings record.,https://dd.reso.org/DD2.0/ContactListings/Contact/
ContactListings,ContactKey,"The foreign key relating to the Contacts Resource. A unique identifier for this record from the immediate source. This is a string that can include a Uniform Resource Identifier (URI) or other forms. This is the local key of the system. When records are received from other systems, a local key is commonly applied. If conveying the original keys from the source or originating systems, see Source System Contact Key and Originating System Contact Key in the Contacts Resource.",https://dd.reso.org/DD2.0/ContactListings/ContactKey/
ContactListings,ContactListingPreference,"The contact's preference selection on the given listing (i.e., Favorite, Possibility or Discard).",https://dd.reso.org/DD2.0/ContactListings/ContactListingPreference/
ContactListings,ContactListingsKey,"A system unique identifier. Specifically, in aggregation systems, the key is the system unique identifier from the system that the record was just retrieved from. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.",https://dd.reso.org/DD2.0/ContactListings/ContactListingsKey/
ContactListings,ContactLoginId,"The foreign key referring to the Contacts Resource's local, well-known identifier for the contact. This value may not be unique, specifically in the case of aggregation systems. This value should be the identifier from the original system and is used by the contact to log on to a client portal in that system.",https://dd.reso.org/DD2.0/ContactListings/ContactLoginId/
ContactListings,ContactNotesUnreadYN,"A flag indicating whether or not the contact's notes are unread. This flag may be true/false, yes/no or another true, false or unknown indicator. As with all flags, the field may be null.",https://dd.reso.org/DD2.0/ContactListings/ContactNotesUnreadYN/
ContactListings,DirectEmailYN,"A flag indicating whether or not this is a direct email. If true, the email was a direct email sent to the client by the member. If false, the email was an automated email.",https://dd.reso.org/DD2.0/ContactListings/DirectEmailYN/
ContactListings,HistoryTransactional,The history of the ContactListings record.,https://dd.reso.org/DD2.0/ContactListings/HistoryTransactional/
ContactListings,LastAgentNoteTimestamp,The date/time the member last added or updated a ListingNote.,https://dd.reso.org/DD2.0/ContactListings/LastAgentNoteTimestamp/
ContactListings,LastContactNoteTimestamp,The date/time the contact last added or updated a ListingNote.,https://dd.reso.org/DD2.0/ContactListings/LastContactNoteTimestamp/
