Resource,Field,StandardName,DisplayName,Group,DataType,MaxLength,MaxPrecision,Synonyms,FieldStatus,BEDES,Lookup,LookupStatus,PropertyTypes,Payloads,SpanishName,FrenchCanadianName,StatusChangeDate,RevisionDate,AddedInVersion,SourceResource,OrgPct,OrgAdopted,OrgTotal,SourceUrl,FetchedAt
Caravan,CaravanAllowedStatuses,CaravanAllowedStatuses,Caravan Allowed Statuses,,"String List, Multi",50,,,Active,,CaravanAllowedStatuses,Open with Enumerations,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanAllowedStatuses/,2026-05-04T15:53:41Z
Caravan,CaravanAreaDescription,CaravanAreaDescription,Caravan Area Description,,String,1024,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanAreaDescription/,2026-05-04T15:53:41Z
Caravan,CaravanBlackoutDates,CaravanBlackoutDates,Caravan Blackout Dates,,String,1024,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanBlackoutDates/,2026-05-04T15:53:41Z
Caravan,CaravanDate,CaravanDate,Caravan Date,,Date,10,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanDate/,2026-05-04T15:53:41Z
Caravan,CaravanDaysRecurring,CaravanDaysRecurring,Caravan Days Recurring,,String,50,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanDaysRecurring/,2026-05-04T15:53:41Z
Caravan,CaravanEndTime,CaravanEndTime,Caravan End Time,,Timestamp,27,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanEndTime/,2026-05-04T15:53:41Z
Caravan,CaravanInputDeadlineDescription,CaravanInputDeadlineDescription,Caravan Input Deadline Description,,String,50,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanInputDeadlineDescription/,2026-05-04T15:53:41Z
Caravan,CaravanInputDeadlineTimestamp,CaravanInputDeadlineTimestamp,Caravan Input Deadline Timestamp,,Timestamp,27,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanInputDeadlineTimestamp/,2026-05-04T15:53:41Z
Caravan,CaravanKey,CaravanKey,Caravan Key,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanKey/,2026-05-04T15:53:41Z
Caravan,CaravanName,CaravanName,Caravan Name,,String,50,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanName/,2026-05-04T15:53:41Z
Caravan,CaravanOrganizerContactInfo,CaravanOrganizerContactInfo,Caravan Organizer Contact Info,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanOrganizerContactInfo/,2026-05-04T15:53:41Z
Caravan,CaravanOrganizerKey,CaravanOrganizerKey,Caravan Organizer Key,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanOrganizerKey/,2026-05-04T15:53:41Z
Caravan,CaravanOrganizerMlsId,CaravanOrganizerMlsId,Caravan Organizer MLS ID,,String,25,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanOrganizerMlsId/,2026-05-04T15:53:42Z
