host_resource,host_field,candidate_satellite,target_resource,target_field,jaccard,host_token_count,target_token_count,shared_token_count,host_def_first120,target_def_first120
Property,CoListAgentKey,CoListAgentAOR,Member,MemberAOR,0.750,3,4,3,The Co-listing Agent's board or association of REALTORS®.,The member's primary board or association of REALTORS®.
Property,CoListAgentKey,CoListAgentDesignation,Member,MemberDesignation,1.000,20,20,20,Designations and certifications acknowledging experience and expertise in various real estate sectors are awarded by the,Designations and certifications acknowledging experience and expertise in various real estate sectors are awarded by the
Property,CoListAgentKey,CoListAgentDirectPhone,Member,MemberDirectPhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoListAgentKey,CoListAgentEmail,Member,MemberEmail,1.000,2,2,2,The email address of the co-listing agent.,The email address of the member.
Property,CoListAgentKey,CoListAgentFax,Member,MemberFax,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoListAgentKey,CoListAgentFirstName,Member,MemberFirstName,1.000,2,2,2,The first name of the co-listing agent.,The first name of the member.
Property,CoListAgentKey,CoListAgentFullName,Member,MemberFullName,0.667,4,6,4,"The first, middle and last name of the co-listing agent.","The first, middle and last name of the member or an alternate full name."
Property,CoListAgentKey,CoListAgentHomePhone,Member,MemberHomePhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoListAgentKey,CoListAgentLastName,Member,MemberLastName,1.000,2,2,2,The last name of the co-listing agent.,The last name of the member.
Property,CoListAgentKey,CoListAgentMiddleName,Member,MemberMiddleName,1.000,2,2,2,The middle name of the co-listing agent.,The middle name of the member.
Property,CoListAgentKey,CoListAgentMlsId,Member,MemberMlsId,1.000,12,12,12,"The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, and it ","The local, well-known identifier for the member. This value may not be unique, specifically in the case of aggregation s"
Property,CoListAgentKey,CoListAgentMobilePhone,Member,MemberMobilePhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoListAgentKey,CoListAgentNamePrefix,Member,MemberNamePrefix,1.000,6,6,6,"The prefix to the name (e.g., Dr., Mr., Ms.).","The prefix to the member name (e.g., Dr., Mr., Ms.)."
Property,CoListAgentKey,CoListAgentNameSuffix,Member,MemberNameSuffix,0.714,6,6,5,"The suffix to the name (e.g., Esq., Jr., III).","The suffix to the member surname (e.g., Esq., Jr., III)."
Property,CoListAgentKey,CoListAgentOfficePhone,Member,MemberOfficePhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoListAgentKey,CoListAgentOfficePhoneExt,Member,MemberOfficePhoneExt,1.000,5,5,5,"The extension of the given phone number, if applicable.","The extension of the given phone number, if applicable."
Property,CoListAgentKey,CoListAgentPager,Member,MemberPager,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
