LookupName,Description,ValueCount,UsedByCount,SourceURL
SpecialLicenses,,13,1,https://dd.reso.org/DD2.0/lookups/SpecialLicenses/
SpecialListingConditions,,12,1,https://dd.reso.org/DD2.0/lookups/SpecialListingConditions/
StandardStatus,,11,1,https://dd.reso.org/DD2.0/lookups/StandardStatus/
StateOrProvince,,65,19,https://dd.reso.org/DD2.0/lookups/StateOrProvince/
StreetDirection,,8,2,https://dd.reso.org/DD2.0/lookups/StreetDirection/
StreetSuffix,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/StreetSuffix/
StructureType,,17,1,https://dd.reso.org/DD2.0/lookups/StructureType/
SyndicateAgentOption,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/SyndicateAgentOption/
SyndicateTo,,4,3,https://dd.reso.org/DD2.0/lookups/SyndicateTo/
TaxStatusCurrent,,3,1,https://dd.reso.org/DD2.0/lookups/TaxStatusCurrent/
TeamImpersonationLevel,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/TeamImpersonationLevel/
TeamMemberType,,10,1,https://dd.reso.org/DD2.0/lookups/TeamMemberType/
TeamStatus,,2,1,https://dd.reso.org/DD2.0/lookups/TeamStatus/
TenantPays,,29,1,https://dd.reso.org/DD2.0/lookups/TenantPays/
TrackingType,,5,1,https://dd.reso.org/DD2.0/lookups/TrackingType/
TransactionType,,5,1,https://dd.reso.org/DD2.0/lookups/TransactionType/
UnitTypeType,,10,2,https://dd.reso.org/DD2.0/lookups/UnitTypeType/
UnitsFurnished,,3,1,https://dd.reso.org/DD2.0/lookups/UnitsFurnished/
Utilities,,23,1,https://dd.reso.org/DD2.0/lookups/Utilities/
Vegetation,,10,1,https://dd.reso.org/DD2.0/lookups/Vegetation/
View,,38,1,https://dd.reso.org/DD2.0/lookups/View/
WaterSource,,9,1,https://dd.reso.org/DD2.0/lookups/WaterSource/
WaterfrontFeatures,,20,1,https://dd.reso.org/DD2.0/lookups/WaterfrontFeatures/
WindowFeatures,,21,1,https://dd.reso.org/DD2.0/lookups/WindowFeatures/
YearBuiltSource,,8,1,https://dd.reso.org/DD2.0/lookups/YearBuiltSource/
