LookupName,ValueCount,UsedByCount,UsedByJson,FetchedAt,Source,SourceUrl
Cooling,24,1,"[{""Resource"":""Property"",""Field"":""Cooling"",""DisplayName"":""Cooling"",""Usage"":""90%""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/Cooling/
Country,246,12,"[{""Resource"":""Property"",""Field"":""Country"",""DisplayName"":""Country"",""Usage"":""41%""},{""Resource"":""Association"",""Field"":""AssociationCountry"",""DisplayName"":""Association Country"",""Usage"":""—""},{""Resource"":""Association"",""Field"":""AssociationMailCountry"",""DisplayName"":""Association Mail Country"",""Usage"":""—""},{""Resource"":""Contacts"",""Field"":""HomeCountry"",""DisplayName"":""Home Country"",""Usage"":""—""},{""Resource"":""Contacts"",""Field"":""OtherCountry"",""DisplayName"":""Other Country"",""Usage"":""—""},{""Resource"":""Contacts"",""Field"":""WorkCountry"",""DisplayName"":""Work Country"",""Usage"":""—""},{""Resource"":""LockOrBox"",""Field"":""ListingCountry"",""DisplayName"":""Listing Country"",""Usage"":""—""},{""Resource"":""Member"",""Field"":""MemberCountry"",""DisplayName"":""Member Country"",""Usage"":""31%""},{""Resource"":""Office"",""Field"":""OfficeCountry"",""DisplayName"":""Office Country"",""Usage"":""3%""},{""Resource"":""Office"",""Field"":""OfficeMailCountry"",""DisplayName"":""Office Mail Country"",""Usage"":""1%""},{""Resource"":""OUID"",""Field"":""OrganizationCountry"",""DisplayName"":""Organization Country"",""Usage"":""0%""},{""Resource"":""Teams"",""Field"":""TeamCountry"",""DisplayName"":""Team Country"",""Usage"":""—""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/Country/
CurrentFinancing,15,1,"[{""Resource"":""Property"",""Field"":""CurrentFinancing"",""DisplayName"":""Current Financing"",""Usage"":""26%""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/CurrentFinancing/
CurrentOrPossibleUse,43,2,"[{""Resource"":""Property"",""Field"":""CurrentUse"",""DisplayName"":""Current Use"",""Usage"":""63%""},{""Resource"":""Property"",""Field"":""PossibleUse"",""DisplayName"":""Possible Use"",""Usage"":""49%""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/CurrentOrPossibleUse/
DailySchedule,15,1,"[{""Resource"":""Prospecting"",""Field"":""DailySchedule"",""DisplayName"":""Daily Schedule"",""Usage"":""—""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/DailySchedule/
DevelopmentStatus,10,1,"[{""Resource"":""Property"",""Field"":""DevelopmentStatus"",""DisplayName"":""Development Status"",""Usage"":""28%""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/DevelopmentStatus/
DeviceType,5,1,"[{""Resource"":""InternetTracking"",""Field"":""DeviceType"",""DisplayName"":""Device Type"",""Usage"":""—""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/DeviceType/
DirectionFaces,8,1,"[{""Resource"":""Property"",""Field"":""DirectionFaces"",""DisplayName"":""Direction Faces"",""Usage"":""24%""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/DirectionFaces/
DocumentStatus,16,1,"[{""Resource"":""Property"",""Field"":""DocumentStatus"",""DisplayName"":""Document Status"",""Usage"":""—""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/DocumentStatus/
DoorFeatures,5,1,"[{""Resource"":""Property"",""Field"":""DoorFeatures"",""DisplayName"":""Door Features"",""Usage"":""51%""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/DoorFeatures/
Electric,18,1,"[{""Resource"":""Property"",""Field"":""Electric"",""DisplayName"":""Electric"",""Usage"":""66%""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/Electric/
EventSource,6,1,"[{""Resource"":""InternetTracking"",""Field"":""EventSource"",""DisplayName"":""Event Source"",""Usage"":""—""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/EventSource/
EventTarget,21,1,"[{""Resource"":""InternetTracking"",""Field"":""EventTarget"",""DisplayName"":""Event Target"",""Usage"":""—""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/EventTarget/
EventType,20,1,"[{""Resource"":""InternetTracking"",""Field"":""EventType"",""DisplayName"":""Event Type"",""Usage"":""—""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/EventType/
ExistingLeaseType,9,2,"[{""Resource"":""Property"",""Field"":""AvailableLeaseType"",""DisplayName"":""Available Lease Type"",""Usage"":""3%""},{""Resource"":""Property"",""Field"":""ExistingLeaseType"",""DisplayName"":""Existing Lease Type"",""Usage"":""43%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ExistingLeaseType/
ExteriorFeatures,37,1,"[{""Resource"":""Property"",""Field"":""ExteriorFeatures"",""DisplayName"":""Exterior Features"",""Usage"":""85%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ExteriorFeatures/
FeeFrequency,11,4,"[{""Resource"":""Property"",""Field"":""AssociationFee2Frequency"",""DisplayName"":""Association Fee 2 Frequency"",""Usage"":""18%""},{""Resource"":""Property"",""Field"":""AssociationFeeFrequency"",""DisplayName"":""Association Fee Frequency"",""Usage"":""72%""},{""Resource"":""Property"",""Field"":""LandLeaseAmountFrequency"",""DisplayName"":""Land Lease Amount Frequency"",""Usage"":""7%""},{""Resource"":""Property"",""Field"":""LeaseAmountFrequency"",""DisplayName"":""Lease Amount Frequency"",""Usage"":""15%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/FeeFrequency/
Fencing,29,1,"[{""Resource"":""Property"",""Field"":""Fencing"",""DisplayName"":""Fencing"",""Usage"":""78%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/Fencing/
FhaEligibility,5,1,"[{""Resource"":""Property"",""Field"":""FhaEligibility"",""DisplayName"":""FHA Eligibility"",""Usage"":""—""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/FhaEligibility/
FinancialDataSource,3,1,"[{""Resource"":""Property"",""Field"":""FinancialDataSource"",""DisplayName"":""Financial Data Source"",""Usage"":""12%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/FinancialDataSource/
FireplaceFeatures,44,1,"[{""Resource"":""Property"",""Field"":""FireplaceFeatures"",""DisplayName"":""Fireplace Features"",""Usage"":""81%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/FireplaceFeatures/
Flooring,39,1,"[{""Resource"":""Property"",""Field"":""Flooring"",""DisplayName"":""Flooring"",""Usage"":""84%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/Flooring/
FoundationDetails,12,1,"[{""Resource"":""Property"",""Field"":""FoundationDetails"",""DisplayName"":""Foundation Details"",""Usage"":""78%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/FoundationDetails/
FrontageType,9,1,"[{""Resource"":""Property"",""Field"":""FrontageType"",""DisplayName"":""Frontage Type"",""Usage"":""35%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/FrontageType/
Furnished,4,2,"[{""Resource"":""Property"",""Field"":""Furnished"",""DisplayName"":""Furnished"",""Usage"":""54%""},{""Resource"":""PropertyUnitTypes"",""Field"":""UnitTypeFurnished"",""DisplayName"":""Unit Type Furnished"",""Usage"":""5%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/Furnished/
GreenBuildingVerificationType,18,2,"[{""Resource"":""Property"",""Field"":""GreenBuildingVerificationType"",""DisplayName"":""Green Building Verification Type"",""Usage"":""23%""},{""Resource"":""PropertyGreenVerification"",""Field"":""GreenBuildingVerificationType"",""DisplayName"":""Green Building Verification Type"",""Usage"":""2%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/GreenBuildingVerificationType/
GreenEnergyEfficient,12,1,"[{""Resource"":""Property"",""Field"":""GreenEnergyEfficient"",""DisplayName"":""Green Energy Efficient"",""Usage"":""47%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/GreenEnergyEfficient/
GreenEnergyGeneration,2,1,"[{""Resource"":""Property"",""Field"":""GreenEnergyGeneration"",""DisplayName"":""Green Energy Generation"",""Usage"":""39%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/GreenEnergyGeneration/
GreenIndoorAirQuality,4,1,"[{""Resource"":""Property"",""Field"":""GreenIndoorAirQuality"",""DisplayName"":""Green Indoor Air Quality"",""Usage"":""19%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/GreenIndoorAirQuality/
