host_resource,host_field,fk_stem,candidate_satellite,candidate_simple_type,target_resource,target_field,name_match_score,name_match_kind,jaccard,type_match,lookup_match,signals_fired,recommendation,notes
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentAOR,"String List, Single",Member,MemberAOR,1.00,target_prefix,0.750,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentDesignation,"String List, Multi",Member,MemberDesignation,1.00,target_prefix,0.952,0.5,0,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentDirectPhone,String,Member,MemberDirectPhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentEmail,String,Member,MemberEmail,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentFax,String,Member,MemberFax,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentFirstName,String,Member,MemberFirstName,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentFullName,String,Member,MemberFullName,1.00,target_prefix,0.667,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentHomePhone,String,Member,MemberHomePhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentLastName,String,Member,MemberLastName,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentMiddleName,String,Member,MemberMiddleName,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentMlsId,String,Member,MemberMlsId,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,id_suffix_threshold_0.7
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentMobilePhone,String,Member,MemberMobilePhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentNamePrefix,String,Member,MemberNamePrefix,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentNameSuffix,String,Member,MemberNameSuffix,1.00,target_prefix,0.714,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentOfficePhone,String,Member,MemberOfficePhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentOfficePhoneExt,String,Member,MemberOfficePhoneExt,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentPager,String,Member,MemberPager,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentPreferredPhone,String,Member,MemberPreferredPhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentPreferredPhoneExt,String,Member,MemberPreferredPhoneExt,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentStateLicense,String,Member,MemberStateLicense,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentTollFreePhone,String,Member,MemberTollFreePhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentURL,String,Member,,0.00,no_match,0.000,0.0,0,A,keep_both,no_child_match
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentVoiceMail,String,Member,MemberVoiceMail,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerAgentKey,CoBuyerAgent,CoBuyerAgentVoiceMailExt,String,Member,MemberVoiceMailExt,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerOfficeKey,CoBuyerOffice,CoBuyerOfficeAOR,"String List, Single",Office,OfficeAOR,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerOfficeKey,CoBuyerOffice,CoBuyerOfficeEmail,String,Office,OfficeEmail,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerOfficeKey,CoBuyerOffice,CoBuyerOfficeFax,String,Office,OfficeFax,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerOfficeKey,CoBuyerOffice,CoBuyerOfficeMlsId,String,Office,OfficeMlsId,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,id_suffix_threshold_0.7
Property,CoBuyerOfficeKey,CoBuyerOffice,CoBuyerOfficeName,String,Office,OfficeName,1.00,target_prefix,0.750,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerOfficeKey,CoBuyerOffice,CoBuyerOfficePhone,String,Office,OfficePhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerOfficeKey,CoBuyerOffice,CoBuyerOfficePhoneExt,String,Office,OfficePhoneExt,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoBuyerOfficeKey,CoBuyerOffice,CoBuyerOfficeURL,String,Office,,0.00,no_match,0.000,0.0,0,A,keep_both,no_child_match
Property,CoListAgentKey,CoListAgent,CoListAgentAOR,"String List, Single",Member,MemberAOR,1.00,target_prefix,0.750,1.0,1,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentDesignation,"String List, Multi",Member,MemberDesignation,1.00,target_prefix,1.000,0.5,0,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentDirectPhone,String,Member,MemberDirectPhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentEmail,String,Member,MemberEmail,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
