host_resource,host_field,host_field_type,target_resource,target_field,fk_kind,confidence,evidence,notes
Contacts,HistoryTransactional,Collection,HistoryTransactional,HistoryTransactionalKey,collection_typed,medium,type:collection_typed:SourceResource=HistoryTransactional,inverse_one_to_many
Contacts,Media,Collection,Media,MediaKey,collection_typed,medium,type:collection_typed:SourceResource=Media,inverse_one_to_many
Contacts,OriginatingSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Contacts,OriginatingSystemID,String,OUID,OrganizationUniqueId,prose,medium,"prose:P6:""OUID Resource's OrganizationUniqueId""",
Contacts,OwnerMember,Resource,Member,MemberKey,resource_typed,medium,type:resource_typed:SourceResource=Member,
Contacts,OwnerMemberID,String,Member,MemberKey,name_shape,low,name:tail_stem:OwnerMember->Member,
Contacts,OwnerMemberKey,String,Member,MemberKey,prose,high,"prose:P1:""foreign key relating to the Member resource's MemberKey"" | name:tail_stem:OwnerMember->Member",
Contacts,SourceSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Contacts,SourceSystemID,String,OUID,OrganizationUniqueId,prose,medium,"prose:P6:""OUID Resource's OrganizationUniqueId""",
HistoryTransactional,ChangedByMemberID,String,Member,MemberKey,name_shape,low,name:tail_stem:ChangedByMember->Member,
HistoryTransactional,ChangedByMemberKey,String,Member,MemberKey,prose,high,"prose:P1:""foreign key relating to the Member resource's MemberKey"" | name:tail_stem:ChangedByMember->Member",
HistoryTransactional,FieldKey,String,Field,FieldKey,name_shape,low,name:exact_stem:Field->Field,
HistoryTransactional,OriginatingSystemID,String,OUID,OrganizationUniqueId,prose,medium,"prose:P6:""OUID Resource's OrganizationUniqueId""",
HistoryTransactional,ResourceRecordKey,String,,,prose,medium,"prose:P5:""foreign key from the resource selected in the ResourceName field""",polymorphic
HistoryTransactional,SourceSystemID,String,OUID,OrganizationUniqueId,prose,medium,"prose:P6:""OUID Resource's OrganizationUniqueId""",
InternetTracking,ActorOriginatingSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
